month_year,SN0101_NDVI,SN0102_NDVI,SN0103_NDVI,SN0104_NDVI,SN0201_NDVI,SN0202_NDVI,SN0203_NDVI,SN0301_NDVI,SN0302_NDVI,SN0303_NDVI,SN0401_NDVI,SN0402_NDVI,SN0403_NDVI,SN0404_NDVI,SN0501_NDVI,SN0502_NDVI,SN0503_NDVI,SN0601_NDVI,SN0602_NDVI,SN0603_NDVI,SN0701_NDVI,SN0702_NDVI,SN0703_NDVI,SN0801_NDVI,SN0802_NDVI,SN0803_NDVI,SN0901_NDVI,SN0902_NDVI,SN0903_NDVI,SN1001_NDVI,SN1002_NDVI,SN1003_NDVI,SN1101_NDVI,SN1102_NDVI,SN1103_NDVI,SN1201_NDVI,SN1202_NDVI,SN1203_NDVI,SN1204_NDVI,SN1301_NDVI,SN1302_NDVI,SN1303_NDVI,SN1401_NDVI,SN1402_NDVI,SN1403_NDVI
2010_01,0.17387185140257605,0.2018646020076345,0.21643916784226233,0.2977916017220438,0.25337903549943247,0.2482260890851476,0.25261397079635783,0.2356313291327825,0.349686880052516,0.2625085264062935,0.28190135272020767,0.2758470336179661,0.27540380824058625,0.2775843877767953,0.2702539933366805,0.2574854382470916,0.28680597580841993,0.33483700581190423,0.35578988737210177,0.3136230370485359,0.4435436551944573,0.3663551166845435,0.4054884875160461,0.21565225898345536,0.23807038266216704,0.20839320891586455,0.2680820607918597,0.2128556729428927,0.2573919384357307,0.22789106329632175,0.19713269312286327,0.22503813472563963,0.4344571383036229,0.5495864565311213,0.48675090873935967,0.27992862227655735,0.32638240954311093,0.2871188593144165,0.3267653250392546,0.28152137220470597,0.2768887276335906,0.2427754536207853,0.5007551438937586,0.46851046516812817,0.5305087672508232
2010_02,0.1566685413263422,0.1974348796574348,0.20407294148675648,0.27797634836803864,0.24263023990585209,0.238594470068634,0.24248111976881564,0.23021854993820504,0.3235104464565589,0.2482908157456424,0.2601299572930915,0.25268044945740054,0.24988524214875696,0.2547417843038544,0.25178458777312035,0.2415711627024288,0.26685428086064555,0.281796083653495,0.30132272900878715,0.2739039363280258,0.3500911004876434,0.29311029716456255,0.32872158164855414,0.21036494756450147,0.2286631681033754,0.2051646031242709,0.240846181712073,0.20034128135108137,0.23539907772835988,0.22111426111467936,0.19187273874515057,0.2216741438031044,0.33534750659471413,0.48066243724752994,0.38821917014836926,0.24968103759224927,0.2887061296882391,0.2614171152724205,0.2837825198380605,0.2643453854942708,0.26096196637455843,0.23282194719264823,0.44098241220993384,0.4391853312557967,0.49214050199309867
2010_03,0.12836695213564447,0.16553527806347593,0.18050732542015327,0.2396324517864311,0.21485258615183175,0.208801868629076,0.21048205714449345,0.19938005303599585,0.26298548004023214,0.21469920567335524,0.22453885871170268,0.2184102773875334,0.22413663856501656,0.21896151940755612,0.21932505441602076,0.21196189843371213,0.23345530663683947,0.2530267454349144,0.2712574035206787,0.2487621494171934,0.3121900669862944,0.27911289252083005,0.2969412190532189,0.18639783577219723,0.20097597201197503,0.1834819358451592,0.2003386005871868,0.17338992801769423,0.2004548708168093,0.1954021802689343,0.16875634839474823,0.19372329831067972,0.29240597380103606,0.3632625617204773,0.3084568029990851,0.21216569527404416,0.25219972015974806,0.23118643177804005,0.26072368550617503,0.23351594850002264,0.2312403197218548,0.20484673497565864,0.32728809835871614,0.36196650740909514,0.4029748444136237
2010_04,0.12138785254033858,0.15559819242722756,0.171420741051466,0.22826535246674337,0.2123070157558272,0.2051716322906701,0.2063666072261849,0.20405159862685623,0.27234970097420214,0.2108783667389923,0.21938157573421005,0.21528574499012135,0.2284928774901217,0.2179046807366196,0.21292856223403603,0.21028441338932816,0.22782733790696236,0.29678046897769456,0.3286335170700862,0.28918702150463443,0.34039565651349357,0.29851523563501,0.3536938644460931,0.18223959828913683,0.20087355913705127,0.1839808377587583,0.20397498241729817,0.1747713242216987,0.2018525883806161,0.20206994269160605,0.17103782557472197,0.189823391204563,0.31458745488279477,0.3633891481284732,0.33050464405090374,0.22541397405765304,0.2809293413985636,0.23838152242260296,0.2957383204017792,0.23262341569806344,0.22480154663501736,0.19823494434309,0.3449385552110587,0.36389631689865537,0.4005331225474816
2010_05,0.11031359070242362,0.1391578968079393,0.15403464490704177,0.2012978663398685,0.18723917675996257,0.18348970288675015,0.18196062128126173,0.18563268674823308,0.24903638349814297,0.1826337544353493,0.19312807534737955,0.191061612320966,0.20980423151112465,0.1887557891681258,0.17938630273671102,0.18351285635949724,0.2023389523568859,0.3631184812849608,0.37548635106945294,0.35972821260888566,0.3648602004770028,0.29959926789697894,0.3849506488762678,0.16858213814829634,0.1866701723493127,0.1739732725863093,0.20061090317114896,0.16387876868929505,0.19074179012196424,0.1944229813786349,0.16303765826052874,0.17612045581798524,0.31776915699713715,0.39142818568798127,0.3343066025790225,0.2311136944290111,0.2876492544418275,0.2276508207771709,0.3075443179447682,0.20515592425616647,0.19719369251838764,0.17780502888137031,0.3530074083931276,0.35823837276526876,0.4134976690062336
2010_06,0.12064415294314064,0.14951172557603332,0.16593241898251976,0.2205664052630763,0.2042210458403996,0.2021006147615508,0.19406023061281677,0.20077177603035956,0.29310652777077006,0.19716633550893356,0.210592585682208,0.2014279990714004,0.25263877988118083,0.2093495765873383,0.20655705963953855,0.2291270441142452,0.23016135306039204,0.5741834945291371,0.5536910089180737,0.5603992916368475,0.4821013228699419,0.4494742772959218,0.4852422396410091,0.1746060015979328,0.1982383353185061,0.1822307505110689,0.2549738139255672,0.17264915441031284,0.25472666537139876,0.2025978204404982,0.1771690599630722,0.18482720069960465,0.3982807820470557,0.4536836115340659,0.3940050623266042,0.32366702789447854,0.4054553806073181,0.32669571172019374,0.4309846292073948,0.2235348937460883,0.21469524308434185,0.1819066688847952,0.378775228352886,0.3474533819007042,0.4278271246694099
2010_07,0.17775333125817844,0.18203686996622484,0.24725661473501245,0.42847087343764023,0.33791478233110317,0.3045668623325098,0.3320815927375906,0.3138367969010807,0.4314702737861096,0.3296108999401614,0.42558134574364,0.41969181324562765,0.5294354831100062,0.4287929546997147,0.3642251238796361,0.3956999650937814,0.4365300944129782,0.6954374431303368,0.6930123405500219,0.6437076451063386,0.6168152382629846,0.6204762986436329,0.6261193970180624,0.30093018037912866,0.4075649270200694,0.3072658114082255,0.4804388186547261,0.3164740203632953,0.49522720208532,0.2865657774470859,0.29214235997926674,0.24217886796800697,0.642571304569917,0.5914129369688829,0.6228810341580522,0.5715157324006577,0.646932461907691,0.5955428187270918,0.6304685198641349,0.40463694880201506,0.3731074713910508,0.3029251637334989,0.5382633506713308,0.4892063594274296,0.515484870099883
2010_08,0.2107178257894916,0.21603507851445888,0.2923102635686247,0.5319369778517224,0.4947599132383552,0.496129546588905,0.5267261392275212,0.43133791763316515,0.5112622840021361,0.5059733469067614,0.5686445516248341,0.5563656025217026,0.6328519344408018,0.5904907004164704,0.4990202962881729,0.5008773382273801,0.5687317614959388,0.6461474597703749,0.5916744601332576,0.5902060648230144,0.6253658478586586,0.6457986074330754,0.7001590750299854,0.4394898834857669,0.6017820180934207,0.44725287297028066,0.6305490163812877,0.4709114486779893,0.6252855978497159,0.4153019592686007,0.4355221655952568,0.3418582570008843,0.6737239889282135,0.5921442271889119,0.644339430676904,0.6553918071730624,0.7074562632289801,0.6758675038609786,0.6697534365953939,0.5513728264155674,0.5161064545458964,0.43278918091787566,0.5348330334778549,0.4296552406934107,0.5328304979186556
2010_09,0.24189862938713436,0.2553856318081241,0.3045861069620218,0.5460649007610779,0.5671521802073098,0.5786992035195905,0.5875293896498183,0.48918799862723605,0.5822907587839155,0.569565269557318,0.6389467152934242,0.6291614841053143,0.6796288368126377,0.6484628435617232,0.5746562972734579,0.5795226543788995,0.6283351133597083,0.747231265577495,0.7320566197345436,0.7463613237333298,0.7880672141975367,0.7809267735061709,0.7646552726552726,0.4953726269719827,0.5754934477056765,0.47676928261582135,0.5951903525875218,0.4318767396381215,0.5979075952974532,0.4308080038059921,0.4102956254055247,0.4092700296053723,0.7693711438825358,0.7566193149083666,0.7657005982291383,0.6385582869494617,0.7207662192686924,0.7031204591211436,0.743830612061575,0.6117868093332524,0.5613491959536288,0.4858563274727925,0.6692618574029564,0.5553540315161426,0.6631047310666089
2010_10,0.25393469689035175,0.2465589563080133,0.2932685134145004,0.4611134015981279,0.470630942588576,0.4910326228410825,0.4610243843065635,0.45068869906537606,0.5742229529752179,0.5057912071599439,0.535937186903751,0.537537669838099,0.5723773839173332,0.5608423250285957,0.5186074403161636,0.5226391104761927,0.5379203252812031,0.7016710291595173,0.7169335795118501,0.6860808681215687,0.7607403569342083,0.7157513951864397,0.7200652575440777,0.37015210354574135,0.4403607520866142,0.374651121750259,0.45065476896301015,0.334816794245865,0.4666774818255562,0.38766889578216407,0.3156836971848541,0.3670735714510076,0.7328250520904472,0.7556380915393391,0.7609314826463968,0.5360986402338087,0.5977740061371507,0.5838170189346757,0.6609662729735911,0.5412537831119127,0.4491720975285416,0.36748721551899105,0.6791715224302303,0.5722382528359856,0.6676847151445394
